sample_id	Cell Cycle	HIPPO	MYC	NOTCH	NRF2	PI3K	RTK RAS	TP53	TGF-Beta	WNT
03c3c692-8a86-4843-85ae-e045f0fa6f88	1	0	0	0	0	1	1	1	1	0
09497b9b-6fca-48cb-af97-161a3e434a51	1	0	0	1	0	0	1	1	0	0
0bfd1043-8170-e3e4-e050-11ac0c4860c5	1	0	0	0	0	1	1	1	0	0
0bfd1043-8183-e3e4-e050-11ac0c4860c5	0	0	0	0	0	1	0	0	1	0
3a49a936-c623-11e3-bf01-24c6515278c0	0	0	0	0	0	0	0	0	0	1
42f00950-09c9-461a-8423-d5b04a96af10	0	0	0	0	0	0	1	1	1	0
6297aa77-37a0-4f46-987b-32bd8653c0c2	1	0	0	0	0	0	1	1	1	0
681e2301-2057-40e4-ab63-934775d63faa	1	0	0	1	0	1	1	0	0	0
77c022d3-2f29-49d3-a1df-cc2e9407fd7f	1	0	0	0	0	1	0	1	1	0
7c5c2293-3f40-4ae3-8346-6a327b2abf4d	1	0	0	0	0	1	1	1	0	0
87671312-c622-11e3-bf01-24c6515278c0	0	0	0	1	0	0	0	1	1	1
8c850df7-d48e-4386-b3a5-cac5da865ea5	1	0	0	0	0	0	0	0	0	0
8e7fe8bb-6b3d-428f-a232-97e6042a0f39	0	0	0	0	0	1	0	1	0	0
abbbe65c-c622-11e3-bf01-24c6515278c0	1	0	0	1	0	0	0	0	0	0
ac02c38e-5fca-4995-b0cc-39b6189976a3	1	0	0	0	0	0	1	1	1	0
b35d9a68-29f4-49ab-b83e-b5151679e3af	1	1	0	1	0	0	1	0	0	0
bcc74a5e-c622-11e3-bf01-24c6515278c0	0	0	0	0	0	1	0	0	0	0
c6a28615-1b92-4085-956e-eeedb2573c03	0	0	0	0	0	0	0	0	0	1
cf2d34c4-c622-11e3-bf01-24c6515278c0	1	0	0	0	0	0	0	1	0	0
d4907a1b-8b06-47c5-8bca-c781d9cddaf8	1	0	0	1	0	0	1	1	0	0
dbbd54db-4470-4df6-b5be-3e175c7133b0	1	0	0	0	0	0	0	1	0	0
eb18e71d-2a27-4eae-aa27-4b2c0716d2ba	0	0	0	0	0	0	0	1	0	0
f48c3c82-bebe-4b8e-909e-e1a51a7142ec	0	0	0	0	0	0	1	1	0	1
f82d2146-726a-d0e0-e040-11ac0c486888	1	0	0	0	0	0	0	1	0	0
f83fc777-5416-c3e9-e040-11ac0d482c8e	1	1	0	0	0	0	0	1	0	0
f85397dc-e6e9-4f54-e040-11ac0d48706c	1	0	0	0	0	0	1	1	0	0
f9c3e4e3-1b95-b71a-e040-11ac0d4819e7	0	0	0	0	0	1	0	1	0	0
fab0be4b-c84a-45cd-a76f-44d9a8bf1846	1	0	0	0	0	0	1	1	0	0
fc447d51-cdc2-a180-e040-11ac0c4846a4	0	0	1	1	0	0	0	1	0	0
fc7eb420-5c13-20bd-e040-11ac0d484574	1	0	1	0	0	1	0	1	0	0
003819bc-c415-4e76-887c-931d60ed39e7	0	0	0	0	0	0	1	0	0	0
0040b1b6-b07a-4b6e-90ef-133523eaf412	1	0	0	0	0	0	0	0	0	1
00b9d0e6-69dc-4345-bffd-ce32880c8eef	1	0	1	0	0	0	0	1	0	0
02078f77-2b35-4fa3-ab02-2c017181295e	0	0	0	0	0	0	1	0	0	0
0292a46f-a282-4b7f-a7d6-ac55cc7324fb	0	0	0	0	0	0	1	0	0	0
0554ffe5-31f7-43f5-8372-2b73c9cf3527	1	0	0	0	0	0	1	0	0	0
06018aae-1107-4899-bd24-14e6b1f94709	0	0	0	0	0	0	1	0	0	0
0c8f7e63-7a3e-42e8-9408-c5cbd2f52f9d	0	0	0	0	0	0	1	0	0	0
129d2c6c-6688-4b29-bfa7-8df3fe77b25a	0	0	0	0	0	0	1	0	0	0
1358ff92-4db9-4e42-b63a-984a7bea425a	0	0	0	0	0	0	1	0	0	0
15dd024e-c0da-461a-84db-d01e60a22210	0	0	1	0	0	0	1	0	0	0
22578b9f-78dc-464c-9bb9-382f033283d0	1	0	1	1	0	0	0	1	0	0
2468e58c-c623-11e3-bf01-24c6515278c0	1	0	0	0	0	0	0	1	0	1
25e68b09-7d62-4449-a14a-8d09edd96db6	0	0	0	0	0	0	1	0	0	0
28f8d45f-4763-472e-9c4d-6787ba00164b	1	0	1	0	0	1	0	1	0	0
2a5a5840-a834-47a1-b1f4-dc8fed620f5c	0	0	0	0	0	0	1	0	0	0
2c2e5f87-bd22-4a5e-be71-3bcc2aefaf74	0	0	0	0	0	0	1	0	0	0
36160be6-368f-4cdb-b1ee-9ed5b64462fa	0	0	0	0	0	0	1	0	0	0
363d3a59-dce3-408d-a736-5c29ba9f9b6d	0	0	0	0	0	0	1	0	0	0
3935af50-d992-4430-9909-e688347aead9	0	0	0	0	0	0	1	0	0	0
3baecfba-6977-4374-8bc9-22240abad9b5	0	0	0	0	0	0	1	0	0	0
46e503ae-461d-443a-869b-f261c5570de1	0	0	0	0	0	0	1	0	0	0
49900a43-d42e-4052-a8cb-1563b82ad0a0	0	0	0	0	0	0	1	0	0	0
49b26ab5-2ca9-49b1-ae83-573fa41af2cd	0	0	0	0	0	0	1	0	0	0
4d1a4587-adb4-4a65-943e-f19efe8de142	0	0	1	0	0	0	0	1	0	0
4de7441f-a609-4a75-9fe7-17a647079ac1	1	0	1	0	0	0	0	0	0	0
52f2d49e-f24d-41d2-9f73-33bd1cc51bba	0	0	0	0	0	0	1	0	0	0
534d941c-ec2d-47eb-b2dc-d3f856d0b151	0	0	0	0	0	0	1	0	0	0
53ac794d-1067-43e0-8dc0-43b131f43ec5	0	0	0	0	0	0	1	0	0	0
5714b52d-7048-41b5-8141-bf42d960abe4	0	0	0	0	0	0	1	0	0	0
578ba169-1d2f-4187-b174-082bbc6a5bd2	1	0	1	0	0	1	0	1	0	0
57947014-053e-4c34-b6a7-9e6f36f48010	0	0	0	0	0	0	1	0	0	0
